Penulis,Komentar
@bagusndog2218,Burik
@molli5758,"Film ini bagus kalau tayang di tahun 80, bukan di HUT ke 80"
@anifah13,Intronya macam film krisna
@reza_imnida,bikin di capcut ya? 
@MOXIZER,"Yaallah, sama upin ipin aja kalah jauh
Malu banget ga sihh"
@imamdenkhan5277,Katanya biayanya fantastis
@dimasprayogo5451,HAMA BUATAN INDIA
@valentinovincentx-4305,info nobar yg di sby mau ngguyu aku 
@muhammadridwan3259,Jangan lupa bawa obat ttes mata
@Stumbleguys10847,Kok orang tua nya gak ikut cari bendera?
@miaa_a4,mamah aku takut 
@calonpetrus9723,anjir iya loh pojok kiri ada Ak47 sama mp4  pubg mobile menangis melihat ini  0:40
@Yumis_539,What the f*CK this animation bro
@qneisha,keluarga somat lebih bagus jir 
@kylluw,BUSUKKK
@drewepps,"Kalo ada ️𝑰𝑺𝑻𝑨𝑵𝑨𝙱𝙴𝚃17️, pasti gue klik!"
@AzkaNabihasopyan,Rasanya kayak liat film zaman purba dan burik banget sumpah masih mending Adit sopo jarwo
@firaramadanii,; selesai gak selesai kumpulkan    ahh moment
@SumiatiChanel-u7e,"Kalo mau buat animasi yang niat lah,ngapain kalo ga niat,animasi kaya taii juga"
@ijatthetakut2,Aneh
@Erick-cj1kl,Aduh srry tapi ya ini gk terlalu bagus 
@maelunch,Aduh mata gw ternodai
@KaylaAuliafadilla,kocak
@Jessica_septhen,Indonesia sudah bersatu untuk menghujat filmnya 
@muhiksaniksan4241,Sama senjata api
@NoobieCFRG,Bang malu aku bang
@thomaskurniawan8815,Masih bagus upin ipin ketimbang ini 
@ihatenwhim,"Ngaku deh Cinepolis & tim, kalian waktu lihat trailernya juga ketawa dluan kan?"
@nasklengtime1973,Jujur aku mual habis nonton trailer inii
@NarentsYT,alhhalhh
@ariasenagms2076,"Film ini layak tayang.





Gratisan, di akun youtube. Jangan di bioskop "
@muhammadakbarwidigdomahamb8041,Perih mata gw
@aizatifwat6412,Lawak laa..tak boleh lawan malaysia lagi ni…ni versi kartun malaysia di tv
@sijebat7018,Kalah sama filem upin dan ipin
@Sinar-e7w,Kan bisa beli
@azierizky3326, masih bagus keluarga bang somat
@mikailattarfirdaus6211,Coo grafik nya kaya game
@mhaulfadli7985,Tebak jumlah dislike?
@Rev45-g1n,Itu di gudang nya kok ada tembakan emang nya mau perang
@SugestudioDrone29,MALU DONG SAMA IKLAN MARJAN
@mamiemka6021,
@KevindrahariSaputra,Apalah film indonesia mau di bandinging sama kimetsu noyaiba ya menang kimetsu no yaiba lah film indonesia jelek busuk
@anikaponorogo26,Pengen lihat film full nya dimnaa
@ZeastellaRizkyFerdinand,"jgn tonton, nanti tiketnya laku malah pada fomo kartun jelek lainnya"
@aryobimbimm,RILLL FILM ANOMALI burung kok backsound nya suara monyet?
@rianaramadhanty2789,"Bisa""nya animasi begini masuk ke layar lebar bioskop.. masih bagusan animasi"" indonesia yang ada di youtube.."
@dracomaximo631,Wakakakaka selesai gak selesai kumpulkan coy
@Onéllźzyy,"Animasi hancur, voice gak nyambung, sound effect berantakan, model nyolong, cerita ngebosenin alias template, masih minta diwajarkan yang kek gini mentang mentang standar animasi indo yang rendah?"
@21_xiipa5_niketutalittriya5,Jelekkk bangett
@deniajah7734,apaan sie ini. liat trailernya aja dah bikin kesel apalagi kalo nnton film nya.
@StevenWatterson,"Terimakasih bagi yang terlibat dalam pembuatan film ini, saya sangat tertarik untuk menonton film Jumbo kembali"
@damonputra_albarn,sama casper bagusan mana?
@IlyasKhatib-d7b,Agak lain
@alvikririzky,"jalan jalan ke padang
jangan lupa membeli gendang

BeTa BukA GUdAng
BeNderAnyA HiLanG"
@matchajunnn,"animasi TERKEREN yg pernah gw liat, (sarcasm)"
